contract_product_name,contract_name,account_code,customer_regional_group,billing_country,stone_color_type,sku,application_code,application,application_vn,processing_code,processing_name,family,segment,created_date,fy_year,product_description,product_description_vn,length_cm,width_cm,height_cm,quantity,crates,m2,m3,ml,tons,sales_price,charge_unit,total_price_usd,price_m3,volume_m3,area_m2,specific_gravity,hs_coefficient
Absolute Basalt Stair 120393 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,Germany,BD,BD4.1DOX4-1200390030,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Super premium,2024-04-10,2024.0,"Absolute Black Basalt Steps
Surface Flamed, then water jet, then brushed, 1 long side and both short sides honed, Rest sawn","BAZAN ĐEN, Bậc thang- Mặt đốt xịt nước, 1 cạnh dài và 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",120.0,39.0,3.0,6.0,1.0,2.81,0.08,7.2,0.25,24.34,USD/PC,146.04,1825.4999999999998,0.01404,0.468,2.95,1.0
Absolute Basalt Tiles 120403 (8),03/A-X21.2/24,X21.2,Nhóm đầu 2,Germany,BD,BD1.0DOX1-1200400030,1.1,Cubes / Cobbles,Cubic (Đá vuông),DOX,Flamed Water,SLAB,Premium,2024-04-10,2024.0,"Absolute Basalt Tiles
Flamed and water jet finished, other sides sawn, edges with chamfered 2/2mm.","BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 2mm",120.0,40.0,3.0,125.0,5.0,60.0,1.8,150.0,5.31,29.5,USD/M2,1770.0,983.3333333333333,0.0144,0.48,2.95,1.0
Absolute Basalt Stair 1203515 (8),03/A-X21.2/24,X21.2,Nhóm đầu 2,Germany,BD,BD4.1DOX0-1200350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2024-04-10,2024.0,"Extreme Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm","BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",120.0,35.0,15.0,24.0,3.0,10.08,1.51,28.8,4.46,61.43,USD/PC,1474.32,976.3708609271523,0.063,0.42,2.95,1.0
Absolute Basalt Riser 75143 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,Germany,BD,BD4.1DOX4-0750140030,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Super premium,2024-04-10,2024.0,"Absolute Black Basalt Riser
Surface Flamed, then water jet, then brushed, both short sides honed, Rest sawn","BAZAN ĐEN, Đá ốp bậc thang - Mặt đốt xịt nước, 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",75.0,14.0,3.0,6.0,1.0,0.63,0.02,4.5,0.06,5.46,USD/PC,32.76,1637.9999999999998,0.00315,0.105,2.95,1.0
Absolute Basalt Riser 115143 (6),02/A-X23.1/24,X23.1,Nhóm đầu 2,Germany,BD,BD4.1DOX4-1150140030,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Super premium,2024-04-10,2024.0,"Absolute Black Basalt Riser
Surface Flamed, then water jet, then brushed, both short sides honed, Rest sawn","BAZAN ĐEN, Đá ốp bậc thang - Mặt đốt xịt nước, 2 cạnh ngắn hon, các cạnh còn lại cưa, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",115.0,14.0,3.0,6.0,1.0,0.97,0.03,6.9,0.09,8.37,USD/PC,50.22,1674.0,0.00483,0.161,2.95,1.0
Black Basalt Cubic 10108 (700) TON,04/A-X27/24,X27,Nhóm đầu 2,Germany,BX,BX1.1CTA9-0100100080,1.1,Cubes / Cobbles,Cubic (Đá vuông),CTA,Split Handmade,Exterior_Tiles,Economy,2024-04-08,2024.0,Black Basalt Cubic Hand split (Packing in wooden crate),"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",10.0,10.0,8.0,29400.0,42.0,294.0,23.52,2940.0,56.1,115.3,USD/TON,6468.33,275.0140306122449,0.0008,0.01,2.65,0.9
Bluestone Paving 2485 (360),01/A-X45/24,X45,Nhóm đầu 4,Ireland,MB,MB1.3GCR0-0240080050,1.3,Paving stone / Paving slab,Đá lát ngoài trời,GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-04-05,2024.0,Blue Limestone Paving  Honed + tumbled,"BLUESTONE, Đá lát-Giả cổ rung",24.0,8.0,5.0,20880.0,58.0,400.9,20.04,5011.2,54.12,22.5,USD/M2,9020.16,450.10778443113776,0.00096,0.0192,2.7,1.0
Bluestone Paving 20104 (500),01/A-X45/24,X45,Nhóm đầu 4,Ireland,MB,MB1.2GCR0-0200100040,1.2,Other (1.2),Khác (1.2),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-04-05,2024.0,Blue Limestone Paving  Honed + tumbled,"BLUESTONE, Đá lát-Giả cổ rung",20.0,10.0,4.0,12501.0,27.0,250.02,10.0,2500.2,27.0,21.0,USD/M2,5250.42,525.042,0.0008,0.02,2.7,1.0
Bluestone Tiles 40402 (100),01/X369/24,X36,Nhóm đầu 3,France,MB,MB1.2QME0-0400400020,1.2,Other (1.2),Khác (1.2),QME,Tumbled,Exterior_Tiles,Common,2024-04-03,2024.0,Bluestone Tiles Premium tumbled,"BLUESTONE, Đá lát-Quay mẻ.",40.0,40.0,2.0,2200.0,22.0,352.0,7.04,880.0,19.01,14.5,USD/M2,5104.0,725.0,0.0032,0.16,2.7,1.0
Bluestone Copings 100354 (20),01/X369/24,X36,Nhóm đầu 3,France,MB,MB2.2MGI0-1000350040,2.2,Wall covering / Wall top,Đá ốp tường rào,MGI,Scraped,"Pool surrounding,Window sill, covering",Premium,2024-04-03,2024.0,"Dark Bluestone Covering  Scraped with 02 waterline size of 1x1cm, edges of long sides chamfered 3/4mm","BLUESTONE, Nắp tường rào-Mặt và 2 cạnh dài mài giấy, 2 rãnh thoát nước dọc 2 cạnh dài 0.5x0.5cm cách mép 2cm, vạt mép trên và mép dưới 2 cạnh dài 3mm.",100.0,35.0,4.0,220.0,11.0,77.0,3.08,220.0,8.32,16.3,USD/PC,3586.0,1164.2857142857142,0.014,0.35,2.7,1.0
Black Basalt Cubic 14148 (7700),01/A-X12/24,X12,Nhóm đầu 1,Netherlands,BX,BX1.1CTA0-0140140080,1.1,Cubes / Cobbles,Cubic (Đá vuông),CTA,Split Handmade,Exterior_Tiles,Economy,2024-03-29,2024.0,"Basalt cubes Natural split, loose container packing.","BAZAN XÁM, Cubic-Chẻ tay tự nhiên",14.0,14.0,8.0,4802.0,14.0,94.12,7.53,672.28,17.46,22.1,USD/M2,2080.03,276.2324037184595,0.001568,0.0196,2.65,0.875
Bluestone Cubic 10105 (720),02/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0100100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",10.0,10.0,5.0,6480.0,9.0,64.8,3.24,648.0,8.75,22.6,USD/M2,1464.48,452.0,0.0005,0.01,2.7,1.0
Bluestone Cubic 20105 (360),01/A-X499/21,X49,Nhóm đầu 4,Ireland,MB,MB1.1GCR0-0200100050,1.1,Cubes / Cobbles,Cubic (Đá vuông),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2024-03-28,2024.0,Vietnamese Bluestone Cobbles  Antique vibrated + calibrated + tumbled,"BLUESTONE, Cubic-Giả cổ rung",20.0,10.0,5.0,10080.0,28.0,201.6,10.08,2016.0,27.22,22.2,USD/M2,4475.52,444.00000000000006,0.001,0.02,2.7,1.0
